"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Feb-2025","EQ","428.80","430.55","417.50","427.20","418.05","418.30","421.57","471.50","417.50","1,42,88,751","6,02,37,50,310.80","1,87,384"
"10-Feb-2025","EQ","427.00","433.30","426.50","430.85","427.70","427.20","428.76","471.50","426.50","1,22,27,140","5,24,24,93,795.80","1,56,939"
"07-Feb-2025","EQ","440.00","445.50","428.40","441.10","430.10","430.85","432.24","471.50","428.40","1,88,75,982","8,15,88,60,785.30","2,12,183"
"06-Feb-2025","EQ","450.00","450.00","438.20","448.15","442.75","441.10","441.65","471.50","430.10","1,74,69,129","7,71,52,80,524.95","1,64,798"
"05-Feb-2025","EQ","455.15","455.85","446.50","455.15","448.50","448.15","450.02","471.50","430.10","1,28,36,283","5,77,65,23,794.20","1,55,466"
"04-Feb-2025","EQ","458.00","460.35","448.75","454.35","454.30","455.15","454.39","471.50","430.10","1,89,23,681","8,59,86,91,176.90","2,19,082"
"03-Feb-2025","EQ","462.00","465.20","452.30","462.55","453.50","454.35","457.77","471.50","430.10","1,69,91,730","7,77,82,30,238.50","2,78,444"
"01-Feb-2025","EQ","448.00","471.50","439.55","447.50","461.55","462.55","459.22","471.50","430.10","3,03,93,007","13,95,70,38,228.10","3,08,264"
"31-Jan-2025","EQ","436.50","448.20","435.10","436.20","447.70","447.50","443.74","461.75","430.10","1,35,46,181","6,01,10,29,618.05","2,92,498"
"30-Jan-2025","EQ","433.00","438.00","431.45","433.35","436.00","436.20","434.97","461.75","430.10","2,24,96,695","9,78,54,77,722.40","2,06,602"
"29-Jan-2025","EQ","435.95","437.50","430.10","435.45","433.25","433.35","433.19","461.75","430.10","1,51,58,510","6,56,64,56,115.00","2,70,156"
"28-Jan-2025","EQ","440.00","441.80","434.50","440.10","434.65","435.45","437.14","461.75","431.10","2,08,13,072","9,09,82,82,699.20","1,74,411"
"27-Jan-2025","EQ","440.80","445.00","436.55","441.60","439.90","440.10","440.42","461.75","431.10","1,04,80,203","4,61,56,46,516.45","1,55,397"
"24-Jan-2025","EQ","439.40","445.00","439.05","440.20","441.40","441.60","442.53","461.75","431.10","96,65,384","4,27,72,28,029.70","1,41,694"
"23-Jan-2025","EQ","435.00","441.85","434.10","437.00","440.45","440.20","439.59","461.75","431.10","88,88,248","3,90,71,65,756.85","1,31,321"
"22-Jan-2025","EQ","439.90","441.95","436.55","437.55","436.75","437.00","438.79","461.75","431.10","96,19,648","4,22,09,97,156.10","1,33,708"
"21-Jan-2025","EQ","438.00","447.00","435.25","437.70","437.95","437.55","440.22","461.75","431.10","1,56,86,500","6,90,54,71,880.05","2,16,692"
"20-Jan-2025","EQ","439.00","441.20","436.00","440.20","437.45","437.70","437.61","461.75","431.10","87,42,771","3,82,59,27,431.85","1,52,896"
"17-Jan-2025","EQ","433.00","441.80","432.50","432.85","439.65","440.20","438.78","461.75","431.10","1,12,70,061","4,94,51,04,351.05","1,19,845"
"16-Jan-2025","EQ","438.05","439.45","431.10","437.35","432.90","432.85","432.62","461.75","431.10","1,57,74,070","6,82,41,78,083.40","1,97,000"
"15-Jan-2025","EQ","436.60","441.80","435.35","436.60","437.00","437.35","437.99","461.75","435.00","97,86,805","4,28,65,12,512.75","1,23,376"
"14-Jan-2025","EQ","441.00","441.50","435.85","439.05","436.95","436.60","438.04","461.75","435.00","1,80,48,459","7,90,59,15,833.35","2,33,131"
"13-Jan-2025","EQ","435.00","444.00","435.00","444.90","439.00","439.05","440.27","461.75","435.00","1,77,99,607","7,83,66,65,097.95","1,72,276"
"10-Jan-2025","EQ","449.95","452.00","442.50","450.10","443.85","444.90","445.59","461.75","437.10","91,45,729","4,07,52,02,264.90","1,69,176"
"09-Jan-2025","EQ","449.40","460.65","446.05","449.55","450.45","450.10","452.64","461.75","437.10","1,97,32,649","8,93,18,46,709.45","2,14,398"
"08-Jan-2025","EQ","443.00","452.05","437.10","441.10","449.65","449.55","444.83","461.75","437.10","1,34,82,926","5,99,76,60,207.25","1,63,390"
"07-Jan-2025","EQ","445.50","447.60","440.15","442.65","441.10","441.10","442.97","461.75","440.15","1,42,94,780","6,33,20,98,307.30","1,80,441"
"06-Jan-2025","EQ","455.60","461.75","441.25","481.60","445.35","442.65","450.15","461.75","441.25","2,20,09,958","9,90,77,71,203.05","2,86,532"
"03-Jan-2025","EQ","490.25","491.00","479.85","489.05","483.95","481.60","482.67","528.50","399.35","3,70,72,992","17,89,39,61,935.85","2,27,193"
"02-Jan-2025","EQ","485.35","490.00","482.30","483.95","489.50","489.05","486.22","528.50","399.35","2,61,24,980","12,70,24,91,020.45","2,24,779"
"01-Jan-2025","EQ","486.00","486.85","482.15","483.65","484.70","483.95","484.93","528.50","399.35","1,82,29,128","8,83,99,30,024.40","1,64,587"
