"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"29-Dec-2023","EQ","3,792.00","3,822.60","3,765.40","3,799.90","3,800.00","3,793.40","3,796.92","3,929.00","3,070.25","15,74,996","5,98,01,29,693.80","1,31,434"
"28-Dec-2023","EQ","3,824.00","3,838.00","3,792.10","3,811.20","3,796.15","3,799.90","3,811.22","3,929.00","3,070.25","16,82,889","6,41,38,55,833.10","1,33,761"
"27-Dec-2023","EQ","3,799.00","3,818.20","3,768.00","3,795.55","3,808.00","3,811.20","3,792.62","3,929.00","3,070.25","12,93,976","4,90,75,56,179.85","1,35,647"
"26-Dec-2023","EQ","3,819.85","3,834.00","3,790.15","3,824.00","3,798.10","3,795.55","3,806.25","3,929.00","3,070.25","12,85,231","4,89,19,12,408.60","1,05,834"
"22-Dec-2023","EQ","3,800.00","3,845.95","3,762.00","3,787.50","3,814.00","3,824.00","3,805.11","3,929.00","3,070.25","24,13,058","9,18,19,61,989.95","2,10,826"
"21-Dec-2023","EQ","3,756.25","3,806.70","3,743.35","3,780.05","3,796.65","3,787.50","3,783.40","3,929.00","3,070.25","15,17,562","5,74,15,45,164.75","1,41,897"
"20-Dec-2023","EQ","3,827.25","3,898.80","3,766.55","3,816.20","3,774.00","3,780.05","3,841.02","3,929.00","3,070.25","25,86,083","9,93,31,85,211.45","1,73,222"
"19-Dec-2023","EQ","3,845.00","3,855.10","3,790.00","3,859.20","3,808.00","3,816.20","3,814.98","3,929.00","3,070.25","20,04,435","7,64,68,76,716.95","1,33,647"
"18-Dec-2023","EQ","3,858.10","3,929.00","3,830.15","3,861.00","3,856.00","3,859.20","3,872.72","3,929.00","3,070.25","25,21,612","9,76,55,02,705.80","1,78,532"
"15-Dec-2023","EQ","3,666.70","3,895.95","3,666.70","3,667.25","3,871.00","3,861.00","3,810.10","3,895.95","3,070.25","85,31,230","32,50,48,50,648.60","3,63,820"
"14-Dec-2023","EQ","3,630.00","3,678.00","3,627.60","3,593.55","3,670.00","3,667.25","3,664.15","3,698.40","3,070.25","32,90,396","12,05,64,88,520.30","2,17,977"
"13-Dec-2023","EQ","3,643.55","3,650.00","3,563.00","3,672.10","3,597.00","3,593.55","3,596.72","3,698.40","3,070.25","38,50,968","13,85,08,61,323.25","3,07,799"
"12-Dec-2023","EQ","3,638.95","3,698.40","3,631.00","3,642.90","3,665.50","3,672.10","3,673.19","3,698.40","3,070.25","22,36,866","8,21,64,32,575.75","1,93,557"
"11-Dec-2023","EQ","3,622.90","3,653.00","3,615.00","3,626.70","3,643.00","3,642.90","3,638.96","3,679.00","3,070.25","11,02,503","4,01,19,62,538.60","79,129"
"08-Dec-2023","EQ","3,633.00","3,645.00","3,602.05","3,614.90","3,625.00","3,626.70","3,622.26","3,679.00","3,070.25","16,41,155","5,94,46,90,506.00","1,11,965"
"07-Dec-2023","EQ","3,605.00","3,630.55","3,591.70","3,604.10","3,618.00","3,614.90","3,615.53","3,679.00","3,070.25","19,67,653","7,11,41,13,153.35","1,69,670"
"06-Dec-2023","EQ","3,532.60","3,612.85","3,525.15","3,531.60","3,600.60","3,604.10","3,573.48","3,679.00","3,070.25","18,96,572","6,77,73,60,136.50","1,09,178"
"05-Dec-2023","EQ","3,538.00","3,538.00","3,502.80","3,512.45","3,533.60","3,531.60","3,520.66","3,679.00","3,070.25","13,77,656","4,85,02,57,950.20","74,749"
"04-Dec-2023","EQ","3,544.65","3,547.80","3,498.00","3,511.65","3,514.45","3,512.45","3,514.58","3,679.00","3,070.25","16,25,213","5,71,19,34,381.15","1,05,864"
"01-Dec-2023","EQ","3,500.00","3,516.95","3,490.05","3,487.60","3,512.00","3,511.65","3,503.53","3,679.00","3,070.25","11,72,141","4,10,66,36,662.55","90,309"
"30-Nov-2023","EQ","3,499.45","3,516.65","3,481.00","3,513.75","3,487.90","3,487.60","3,492.69","3,679.00","3,070.25","32,66,235","11,40,79,56,559.40","1,36,958"
"29-Nov-2023","EQ","3,481.00","3,518.00","3,475.80","3,470.15","3,514.60","3,513.75","3,503.48","3,679.00","3,070.25","14,41,634","5,05,07,29,225.70","1,40,282"
"28-Nov-2023","EQ","3,457.10","3,481.25","3,433.00","3,457.10","3,473.30","3,470.15","3,454.10","3,679.00","3,070.25","16,89,195","5,83,46,49,202.90","1,20,747"
"24-Nov-2023","EQ","3,494.25","3,504.55","3,453.00","3,508.25","3,454.00","3,457.10","3,474.52","3,679.00","3,070.25","19,89,733","6,91,33,59,986.45","1,37,682"
"23-Nov-2023","EQ","3,530.00","3,544.00","3,500.00","3,530.15","3,507.00","3,508.25","3,516.84","3,679.00","3,070.25","27,29,804","9,60,02,72,250.30","1,70,315"
"22-Nov-2023","EQ","3,500.00","3,532.65","3,481.10","3,510.20","3,530.50","3,530.15","3,510.71","3,679.00","3,070.25","17,98,051","6,31,24,27,531.70","1,21,170"
"21-Nov-2023","EQ","3,519.60","3,539.05","3,501.00","3,519.60","3,510.00","3,510.20","3,525.61","3,679.00","3,070.25","18,07,236","6,37,16,10,015.95","1,41,954"
"20-Nov-2023","EQ","3,491.25","3,533.90","3,491.25","3,502.45","3,520.00","3,519.60","3,518.20","3,679.00","3,070.25","14,75,621","5,19,15,24,462.85","1,33,758"
"17-Nov-2023","EQ","3,497.85","3,524.50","3,492.55","3,497.85","3,499.00","3,502.45","3,510.08","3,679.00","3,070.25","20,21,292","7,09,48,91,279.55","1,59,877"
"16-Nov-2023","EQ","3,430.05","3,529.35","3,414.20","3,404.30","3,497.00","3,497.85","3,484.46","3,679.00","3,070.25","39,51,984","13,77,05,16,229.10","2,56,300"
"15-Nov-2023","EQ","3,383.10","3,413.00","3,356.05","3,331.55","3,408.60","3,404.30","3,390.15","3,679.00","3,070.25","20,59,802","6,98,30,37,380.85","1,17,652"
"13-Nov-2023","EQ","3,356.00","3,356.00","3,327.00","3,357.30","3,332.00","3,331.55","3,333.43","3,679.00","3,070.25","10,30,990","3,43,67,31,318.90","92,128"
"12-Nov-2023","EQ","3,350.00","3,359.00","3,345.00","3,333.45","3,358.90","3,357.30","3,355.70","3,679.00","3,070.25","1,73,346","58,16,97,254.35","22,226"
"10-Nov-2023","EQ","3,338.00","3,347.45","3,322.35","3,347.45","3,341.00","3,333.45","3,331.70","3,679.00","3,070.25","13,38,557","4,45,96,65,543.60","93,667"
"09-Nov-2023","EQ","3,390.10","3,391.50","3,342.05","3,381.55","3,350.00","3,347.45","3,363.59","3,679.00","3,070.25","21,12,352","7,10,50,80,612.55","1,46,431"
"08-Nov-2023","EQ","3,371.45","3,401.95","3,369.55","3,370.45","3,382.65","3,381.55","3,387.91","3,679.00","3,070.25","9,92,899","3,36,38,52,490.70","91,615"
"07-Nov-2023","EQ","3,378.00","3,404.15","3,366.00","3,380.25","3,371.55","3,370.45","3,378.26","3,679.00","3,070.25","11,91,144","4,02,39,94,967.20","82,322"
"06-Nov-2023","EQ","3,375.00","3,392.30","3,359.00","3,350.90","3,385.00","3,380.25","3,374.03","3,679.00","3,070.25","10,99,852","3,71,09,28,578.40","69,041"
"03-Nov-2023","EQ","3,382.00","3,387.90","3,344.30","3,360.10","3,351.00","3,350.90","3,362.79","3,679.00","3,070.25","14,02,598","4,71,66,46,465.75","1,11,516"
"02-Nov-2023","EQ","3,343.20","3,375.95","3,343.20","3,330.65","3,363.00","3,360.10","3,363.98","3,679.00","3,070.25","12,45,384","4,18,94,48,412.50","97,073"
"01-Nov-2023","EQ","3,355.00","3,371.60","3,311.00","3,368.75","3,311.40","3,330.65","3,347.22","3,679.00","3,070.25","15,63,475","5,23,32,96,947.80","1,12,623"
"31-Oct-2023","EQ","3,399.00","3,399.00","3,350.05","3,378.55","3,371.80","3,368.75","3,368.00","3,679.00","3,070.25","9,99,811","3,36,73,64,685.15","1,09,355"
"30-Oct-2023","EQ","3,350.00","3,382.85","3,333.75","3,350.95","3,381.00","3,378.55","3,368.57","3,679.00","3,070.25","9,10,972","3,06,86,72,170.25","74,251"
"27-Oct-2023","EQ","3,350.00","3,362.00","3,337.00","3,336.75","3,350.00","3,350.95","3,351.03","3,679.00","3,070.25","11,08,851","3,71,57,95,757.45","1,12,673"
"26-Oct-2023","EQ","3,368.05","3,373.70","3,330.00","3,390.10","3,331.80","3,336.75","3,346.35","3,679.00","3,070.25","19,84,471","6,64,07,34,038.60","2,03,800"
"25-Oct-2023","EQ","3,390.50","3,425.00","3,377.20","3,410.15","3,390.55","3,390.10","3,398.15","3,679.00","3,070.25","15,18,537","5,16,02,13,346.45","1,33,032"
"23-Oct-2023","EQ","3,473.00","3,478.95","3,401.30","3,494.55","3,409.15","3,410.15","3,442.60","3,679.00","3,070.25","11,06,272","3,80,84,55,848.35","1,26,787"
"20-Oct-2023","EQ","3,450.40","3,499.50","3,444.05","3,455.65","3,491.85","3,494.55","3,485.40","3,679.00","3,070.25","14,81,211","5,16,26,09,717.10","1,42,361"
"19-Oct-2023","EQ","3,469.50","3,476.85","3,451.90","3,487.25","3,454.80","3,455.65","3,461.86","3,679.00","3,070.25","15,14,545","5,24,31,45,783.65","1,64,438"
"18-Oct-2023","EQ","3,511.00","3,522.70","3,484.00","3,507.05","3,492.50","3,487.25","3,500.28","3,679.00","3,070.25","14,08,245","4,92,92,45,451.05","1,47,692"
"17-Oct-2023","EQ","3,530.00","3,534.15","3,503.35","3,524.05","3,509.00","3,507.05","3,516.16","3,679.00","3,070.25","16,72,065","5,87,92,54,819.95","1,25,942"
"16-Oct-2023","EQ","3,566.00","3,574.65","3,519.10","3,570.85","3,521.00","3,524.05","3,539.03","3,679.00","3,070.25","16,71,104","5,91,40,86,791.50","1,62,600"
"13-Oct-2023","EQ","3,530.00","3,577.00","3,525.00","3,542.55","3,574.30","3,570.85","3,562.28","3,679.00","3,005.00","28,90,357","10,29,62,67,661.05","2,62,330"
"12-Oct-2023","EQ","3,575.00","3,588.65","3,538.10","3,609.90","3,543.00","3,542.55","3,555.40","3,679.00","3,005.00","42,41,281","15,07,94,40,683.50","3,14,201"
"11-Oct-2023","EQ","3,650.00","3,650.00","3,605.00","3,628.90","3,613.00","3,609.90","3,625.72","3,679.00","3,005.00","24,26,417","8,79,75,00,442.75","1,51,957"
"10-Oct-2023","EQ","3,640.05","3,648.00","3,601.35","3,638.35","3,629.50","3,628.90","3,623.90","3,679.00","3,005.00","18,48,148","6,69,75,11,578.25","1,70,957"
"09-Oct-2023","EQ","3,645.05","3,679.00","3,631.00","3,621.40","3,633.00","3,638.35","3,652.75","3,679.00","3,005.00","42,33,074","15,46,23,57,801.50","3,37,303"
"06-Oct-2023","EQ","3,591.00","3,634.95","3,575.05","3,589.35","3,621.25","3,621.40","3,606.29","3,634.95","2,974.00","20,75,691","7,48,55,47,134.95","1,57,117"
"05-Oct-2023","EQ","3,554.00","3,624.00","3,551.20","3,537.75","3,590.00","3,589.35","3,589.48","3,633.75","2,974.00","29,90,768","10,73,53,00,327.60","1,95,202"
"04-Oct-2023","EQ","3,486.30","3,548.00","3,477.30","3,513.85","3,545.00","3,537.75","3,504.95","3,633.75","2,974.00","17,88,138","6,26,73,37,422.00","1,02,259"
"03-Oct-2023","EQ","3,534.20","3,534.20","3,480.10","3,528.60","3,507.10","3,513.85","3,508.19","3,633.75","2,974.00","19,48,148","6,83,44,65,531.05","1,34,041"
"29-Sep-2023","EQ","3,537.20","3,568.45","3,505.55","3,536.75","3,525.00","3,528.60","3,536.95","3,633.75","2,926.10","22,43,791","7,93,61,67,438.85","1,34,776"
"28-Sep-2023","EQ","3,600.00","3,602.80","3,527.35","3,589.30","3,549.00","3,536.75","3,558.09","3,633.75","2,926.10","17,55,753","6,24,71,35,882.45","1,27,091"
"27-Sep-2023","EQ","3,590.00","3,614.00","3,555.70","3,585.70","3,586.00","3,589.30","3,587.16","3,633.75","2,926.10","15,41,134","5,52,82,96,992.85","1,04,230"
"26-Sep-2023","EQ","3,567.60","3,594.95","3,536.00","3,577.15","3,590.00","3,585.70","3,561.51","3,633.75","2,926.10","17,26,062","6,14,73,86,173.95","1,13,798"
"25-Sep-2023","EQ","3,602.50","3,620.00","3,558.65","3,603.65","3,569.80","3,577.15","3,579.70","3,633.75","2,926.10","12,38,778","4,43,44,48,253.85","82,519"
