"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"05-Feb-2025","EQ","685.00","690.00","680.40","680.39","685.35","684.55","686.31","830.00","575.10","2,64,501","18,15,29,719.90","10,190"
"04-Feb-2025","EQ","685.00","685.00","670.07","669.66","681.00","680.39","677.86","830.00","575.10","2,88,606","19,56,33,328.93","9,124"
"03-Feb-2025","EQ","677.70","679.20","664.11","678.73","670.43","669.66","668.34","830.00","575.10","4,79,375","32,03,84,837.36","19,869"
"01-Feb-2025","EQ","697.20","697.20","668.91","676.91","680.05","678.73","677.97","830.00","575.10","3,63,222","24,62,54,616.01","9,752"
"31-Jan-2025","EQ","678.00","680.00","650.00","664.99","680.00","676.91","672.03","830.00","575.10","3,54,916","23,85,13,039.09","9,171"
"30-Jan-2025","EQ","684.30","684.30","655.00","664.37","666.54","664.99","665.77","830.00","575.10","5,57,135","37,09,24,248.48","8,142"
"29-Jan-2025","EQ","671.05","671.05","640.00","651.51","665.69","664.37","660.25","830.00","575.10","3,04,266","20,08,92,871.77","7,866"
"28-Jan-2025","EQ","666.00","666.00","637.50","649.72","653.00","651.51","649.51","830.00","575.10","5,29,416","34,38,58,660.37","13,470"
"27-Jan-2025","EQ","688.40","688.40","648.00","668.34","650.00","649.72","653.76","830.00","575.10","8,17,673","53,45,60,715.85","26,304"
"24-Jan-2025","EQ","682.79","682.80","667.00","679.00","667.50","668.34","672.17","830.00","561.41","3,90,661","26,25,90,568.87","11,325"
"23-Jan-2025","EQ","685.20","685.20","661.00","672.25","680.75","679.00","677.68","830.00","561.41","2,90,988","19,71,96,714.94","7,295"
"22-Jan-2025","EQ","698.65","698.65","661.76","678.30","672.80","672.25","668.48","830.00","561.41","5,25,912","35,15,61,132.90","13,652"
"21-Jan-2025","EQ","699.60","699.60","675.10","696.57","682.00","678.30","683.19","830.00","561.41","6,97,277","47,63,70,125.34","16,675"
"20-Jan-2025","EQ","705.00","705.00","691.76","695.83","700.00","696.57","696.59","830.00","561.41","2,98,966","20,82,57,332.39","11,445"
"17-Jan-2025","EQ","692.40","699.70","684.25","689.32","699.70","695.83","693.31","830.00","561.00","2,30,618","15,98,88,657.53","8,404"
"16-Jan-2025","EQ","666.00","693.64","666.00","680.27","690.99","689.32","690.79","830.00","561.00","2,56,893","17,74,58,450.87","9,461"
"15-Jan-2025","EQ","694.85","694.85","671.21","674.62","681.02","680.27","678.80","830.00","561.00","3,34,298","22,69,22,921.29","12,157"
"14-Jan-2025","EQ","671.70","676.37","661.15","660.91","676.30","674.62","671.22","830.00","561.00","5,15,655","34,61,17,853.35","15,001"
"13-Jan-2025","EQ","691.00","700.10","656.01","687.83","671.50","660.91","668.34","830.00","561.00","11,63,898","77,78,75,794.56","41,504"
"10-Jan-2025","EQ","705.50","705.50","685.90","700.97","690.00","687.83","691.06","830.00","559.25","5,87,849","40,62,40,965.84","24,589"
"09-Jan-2025","EQ","713.70","713.70","688.50","709.80","702.40","700.97","703.78","830.00","559.25","2,89,225","20,35,49,510.13","15,732"
"08-Jan-2025","EQ","726.00","726.00","704.31","715.70","709.95","709.80","708.69","830.00","559.25","3,39,961","24,09,27,535.80","20,547"
"07-Jan-2025","EQ","738.65","738.65","712.00","717.16","717.00","715.70","717.65","830.00","559.25","2,56,257","18,39,03,079.91","14,977"
"06-Jan-2025","EQ","717.65","744.80","714.05","739.84","722.00","717.16","721.26","830.00","559.25","5,58,805","40,30,41,833.92","35,892"
"03-Jan-2025","EQ","716.60","750.00","716.60","738.74","739.02","739.84","742.09","830.00","550.30","1,58,570","11,76,73,847.79","14,892"
"02-Jan-2025","EQ","724.27","751.45","724.27","729.55","739.01","738.74","732.68","830.00","550.30","1,96,273","14,38,05,154.13","16,984"
"01-Jan-2025","EQ","748.80","748.80","724.35","726.99","729.60","729.55","727.64","830.00","550.30","3,36,470","24,48,28,927.18","32,616"
